time,latitude,longitude,depth,mag,place,type,year,month
1900-10-09 12:25:00+00:00,57.09,-153.48,33.0,7.86,"16 km SW of Old Harbor, Alaska",earthquake,1900,October
1901-03-03 07:45:00+00:00,36.0,-120.5,33.0,6.4,"12 km NNW of Parkfield, California",earthquake,1901,March
1901-07-26 22:20:00+00:00,40.8,-115.7,33.0,5.0,"6 km SE of Elko, Nevada",earthquake,1901,July
1901-12-30 22:34:00+00:00,52.0,-160.0,33.0,7.0,south of Alaska,earthquake,1901,December
1902-01-01 05:20:30+00:00,52.38,-167.45,33.0,7.0,"113 km ESE of Nikolski, Alaska",earthquake,1902,January
1902-05-19 18:31:00+00:00,38.3,-121.9,33.0,5.4,"5 km S of Elmira, California",earthquake,1902,May
1902-07-28 06:57:00+00:00,34.8,-120.4,33.0,5.4,"7 km SSE of Orcutt, California",earthquake,1902,July
1902-11-17 19:50:00+00:00,37.4,-113.5,33.0,6.3,"Near Pine Valley, Utah",earthquake,1902,November
1903-01-17 16:05:00+00:00,50.85,-175.16,33.0,7.0,"153 km SE of Adak, Alaska",earthquake,1903,January
1903-02-05 18:26:00+00:00,52.0,175.0,33.0,6.8,"155 km SE of Attu Station, Alaska",earthquake,1903,February
1903-06-11 13:12:00+00:00,37.4,-121.9,33.0,5.8,"3 km S of Milpitas, California",earthquake,1903,June
1903-06-02 13:17:00+00:00,61.56,-158.54,33.0,6.9,"37 km E of Chuathbaluk, Alaska",earthquake,1903,June
1903-08-03 06:49:00+00:00,37.3,-121.8,33.0,5.8,"3 km ENE of Seven Trees, California",earthquake,1903,August
1903-11-04 19:14:00+00:00,36.5,-89.8,33.0,5.1,"1 km ESE of Tallapoosa, Missouri",earthquake,1903,November
1904-03-21 06:04:00+00:00,45.0,-67.2,33.0,5.1,"4 km ESE of Charlotte, Maine",earthquake,1904,March
1904-03-17 04:20:00+00:00,48.5,-122.8,33.0,5.3,"13 km W of Anacortes, Washington",earthquake,1904,March
1904-08-27 21:56:00+00:00,64.66,-148.08,33.0,7.3,"21 km S of Ester, Alaska",earthquake,1904,August
1905-01-06 14:30:00+00:00,35.5,-118.7,33.0,5.0,"21 km WSW of Bodfish, California",earthquake,1905,January
1905-02-14 08:46:00+00:00,50.73,-178.55,33.0,7.3,"184 km SW of Adak, Alaska",earthquake,1905,February
1905-03-22 03:38:00+00:00,51.28,174.83,33.0,7.0,"207 km SSE of Attu Station, Alaska",earthquake,1905,March
